Station,dist_to_TRAIN_km
1218,1.9475432681571136
1219,2.042173014481178
1220,2.198562144994158
1221,2.339121300742687
1222,2.366221257543282
1223,1.9925545842728838
1224,1.8710988493678034
1225,2.072287639630057
1226,1.713517836841572
1227,1.460778692485568
1228,1.435230681164139
1229,1.0062276792202232
1230,0.7456161466959699
1231,0.8019636526347645
1232,0.6999944425511175
1233,0.8194526121733091
1234,1.2681480211468723
1235,1.33215986239564
1236,0.9472547345907447
1237,1.3067881046565084
1238,1.646964984456778
1239,1.859518967650427
1240,1.9535580286048855
1241,1.926831213172332
1242,1.8083878852950945
1243,2.1551220553932176
1244,2.2716619480684246
1245,1.8228422265786959
1246,1.936976749393805
1247,1.8825437839793846
1248,1.2857365943317716
1249,1.3805225629721833
1250,1.6752683245873399
1251,1.89152370934174
1252,1.8859958433101525
1253,1.6015810302305606
1254,1.4893878584575566
1255,1.8091010969380927
1256,1.6791180642774222
1257,1.588584947010625
1258,1.438927889950856
1259,1.0316327243158983
1260,0.24851071964519447
1261,0.7968390459940203
1262,1.128199681123848
1263,1.4404231984127185
1264,1.7009981129875988
1265,1.1344604491514725
1266,0.45661104607590974
1267,0.8625943286495473
1268,1.6588471247069378
1269,2.0457092489033055
1270,2.3051642358111035
1271,2.303341588138893
1272,2.2838556185775434
1273,2.3953635061028495
1274,2.822602912852702
1275,3.4537522195753656
1276,4.3088412862851895
1277,5.072041209080021
1278,5.319536432800384
1279,5.346060541684386
1280,4.849716520406881
1281,4.313661530377768
1282,4.764519471787138
1283,5.009603962052185
1284,4.70173923356906
1285,4.247611124046467
1286,3.641584142093746
1287,3.064493446356933
1288,2.4233650406970595
1289,2.2843269514158506
1290,1.4896241812963589
1291,1.0245268492605932
1292,0.8561402106159869
1293,1.2857555737224753
1294,1.647809761528665
1295,0.6947773461665797
1296,0.21829185688464423
1297,1.2613247226678481
1298,1.5746502482301357
1299,1.642320338151633
1300,1.9321362181480992
1301,2.033907257935806
1302,1.2723204562337813
1303,0.7727003359783756
1304,0.8434000214110239
1305,0.09960346562599119
1306,0.11750757324843623
1500,2.3348327782937424
1501,2.3099630639069018
1502,2.289488435899293
1503,2.2657806301461565
1504,2.2419936893093553
1505,2.221904509482206
1506,2.1967740740147295
1507,2.1737119968924725
