Station,dist_to_stream_km,dist_to_nenana_km
1098,1.3749076446669235,60.92925633595471
1099,0.9205520153354991,60.179059318773895
1100,0.04377488626223003,59.163015827149046
1101,0.31613032688227544,58.22069526431595
1103,0.24770999135417457,56.431501812247696
1104,0.8116772997919183,55.28146477305927
1105,1.297410592188083,54.399833227332984
1106,1.5414712112723987,53.35134504410227
1107,0.5158288479763506,52.31387121928203
1108,0.39605885220534415,51.4310808053047
1109,0.5781136952191032,50.464899862317516
1110,0.32449176040322997,49.495613161631724
1111,0.38591977942384026,48.54717457866279
1112,0.15165741823644263,47.509802575608056
1113,0.18864012806116412,46.51052795919939
1114,0.21770133714593579,45.72752028887569
1115,0.15265960340235685,44.70054093130155
1116,0.42984736598957357,43.78619135655864
1117,0.5793421969707792,42.97710180568897
1118,0.7767046442448663,41.9230395778453
1119,0.7106869615713061,40.93211823179233
1120,0.6322444963223335,39.89707780491269
1121,0.7706666336927709,38.907967340717796
1122,0.591241239823146,37.946885696828446
1123,0.5224915494556622,36.90546656412897
1124,0.6504528700054989,35.919665619300176
1125,0.7782426485481875,34.93174331532063
1126,0.5292522250304877,33.922791832020366
1127,0.3656640615779367,32.95750896460709
1128,0.5057975325066892,32.07532240350622
1130,0.5862003680319053,30.922427314939583
1131,1.1287913272918624,29.96207111645938
1132,1.1911916827335802,28.917548006464724
1133,1.4074267871095838,27.953729942507458
1134,1.026535113064896,27.25815354467858
1135,1.4012889576772145,26.43353414495211
1136,2.4783486941570394,25.303400182318132
1137,2.686071160490506,24.349837752203438
1138,2.1658286721862385,23.391260073413402
1139,1.415538394933717,22.329348704730844
1140,1.227364704023678,21.34366246929209
1141,1.0052001167865026,20.373836376999623
1142,0.8835801281768261,19.369735924256585
1143,0.9768833242874112,18.254738983190812
1144,1.2485600993526316,17.34261751930467
1145,1.3795960030864438,16.482682514198626
1146,0.7864173119951422,15.417430753345219
1147,0.6649146796343958,14.412547480056375
1148,0.3536621731679801,13.3969141420459
1149,0.4650275881796116,12.45650560990362
1150,0.3349060844884921,11.576173321509202
1151,0.18052380232890589,10.627549881318982
1152,0.39043593673368915,9.750305367508888
1153,0.07125512834090227,8.643658791236092
1154,0.903576500139864,7.793885850861654
1155,1.0321003055653257,6.8363958235924205
1156,0.8074672015621067,6.028558249912413
1157,0.1744342081697763,5.276526442732055
1158,0.12108066587353096,4.640037080062892
1159,0.524998461708469,3.66691994716152
1160,0.7205027106368118,2.763400666181439
1161,0.4042475141235959,1.726205510148094
1162,0.30356261130763623,0.8294334197290029
1163,0.06094717880734704,0.06094717880734704
1164,0.27679042907974943,0.27679042907974943
1165,0.7938519171732373,0.7938519171732373
1166,0.43502543075956623,0.43502543075956623
1167,0.12483147798972383,0.12483147798972383
1168,0.18128788312709757,0.18128788312709757
1169,0.18364660475525837,0.396125977384489
1170,0.2569299659976631,0.2569299659976631
1171,0.12698678161766705,0.12698678161766705
1172,0.13397015128494785,0.13397015128494785
1173,0.11916693772862219,0.11916693772862219
1174,0.19926467362465014,0.19926467362465014
1175,0.3436210733096328,0.3436210733096328
1176,0.06792764254464746,0.7034539014202936
1177,0.6131107455610176,1.2846754608772268
1178,1.450231406012016,1.5462877012233514
1179,1.0206801055222834,1.0206801055222834
1180,0.6354558467261298,0.6354558467261298
1181,0.590561094646037,0.590561094646037
1182,0.7767925676685248,0.7767925676685248
1183,0.741197462439825,0.741197462439825
1184,0.42390483512077337,0.42390483512077337
1185,0.5091912888702856,0.5091912888702856
1186,0.5840759388031237,0.5840759388031237
1187,0.4415287841354293,0.4415287841354293
1188,0.4594513077048871,0.4594513077048871
1189,0.47383377831150875,0.47383377831150875
1190,1.1262060097538698,1.1262060097538698
1191,1.9468108891710538,1.9468108891710538
1192,1.619934618334463,1.619934618334463
1193,1.1502817423064142,1.1502817423064142
1194,0.4608089058050766,0.4608089058050766
1195,0.6824797624199338,0.6824797624199338
1196,0.30472116043439756,0.30472116043439756
1197,0.16480987484503395,0.3606739775881324
1199,0.14820569866798622,0.14820569866798622
1200,0.19821879174221646,0.19821879174221646
1201,0.1234269560550973,0.1234269560550973
1202,0.13933758500690896,0.13933758500690896
1203,0.09493467552729938,0.09493467552729938
1204,0.19422425264117438,0.19422425264117438
1205,0.2512965720328113,0.2512965720328113
1206,0.19822156552125744,0.19822156552125744
1207,0.6169385001473625,0.6169385001473625
1208,0.7283469847956933,0.7283469847956933
1209,0.8460429585013483,0.8460429585013483
1211,1.4465249949788432,1.4465249949788432
1212,1.9690153178400072,1.9690153178400072
1213,2.349073291855506,2.5978235701519776
1214,2.1939040720785563,2.734739482980411
1215,1.8541135674669271,2.818593494360065
1216,1.1372297833274068,2.288089666282906
1217,0.5718637430014626,2.204168185734134
1218,0.5510678355712443,2.152848368231346
