Station,dist_to_ROAD_km
1214,0.028294835271510218
1215,0.029588815338238494
1216,0.035142069706640404
1217,0.024645076768621633
1218,0.04645244899230134
1219,0.05472493833340448
1220,0.09307921640877792
1221,0.04250426016659993
1222,0.022633895932212128
1223,0.0331944657772846
1224,0.023284086058331665
1225,0.03156077398338449
1226,0.01976608081238041
1227,0.02262412422441355
1228,0.025601168233697714
1229,0.03116019027374144
1230,0.03814543133420188
1231,0.03731288224757056
1232,0.004178313996621028
1233,0.050805287562400554
1234,0.0416899891208665
1235,0.018906597111048768
1236,0.0337633201590807
1237,0.02562115278429134
1238,0.0436606546337781
1239,0.03901596986556086
1240,0.03090339634115065
1241,0.025448262965331047
1242,0.03320555946109919
1243,0.06529244273909411
1244,0.0885614409550697
1245,0.06668227840844816
1246,0.02979241135465147
1247,0.02665513196077014
1248,0.02891782598128715
1249,0.03099262816475408
1250,0.03551725847326401
1251,0.03266978618678939
1252,0.0289485835613597
1253,0.033499985934363555
1254,0.031029747282180827
1255,0.08443204019385613
1256,0.06296207522270292
1257,0.06343167565021902
1258,0.026369641222995815
1259,0.025306572318032457
1260,0.030831458541046717
1261,0.05185763056970805
1262,0.03463406566453411
1263,0.025088015791624636
1264,0.02880756369403793
1265,0.03194204597729741
1266,0.05141697279839157
1267,0.024388976416554853
1268,0.025916410368663177
1269,0.025084109315608286
1270,0.025211642494103105
1271,0.02103109686432906
1272,0.030074844951101222
1273,0.026436727255135985
1274,0.01920979208820569
1275,0.02969521883214161
1276,0.04254996015067881
1277,0.036941100507841766
1278,0.02668883781518691
1279,0.023417756021185444
1280,0.01829536236874936
1281,0.02168228862864312
1282,0.04751686572931156
1283,0.05083484302767778
1284,0.04189645093770803
1285,0.01720435078771484
1286,0.01936254047365552
1287,0.022826725962143198
1288,0.021267813309648963
1289,0.05000259308056081
1290,0.038148882128530466
1291,0.07621676699035919
1292,0.027958834441015587
1293,0.02380992163415514
1294,0.037814603184206624
1295,0.024518713676779002
1296,0.02184567813086658
1297,0.02188402387848593
1298,0.01969969223615968
1299,0.012836650573089572
1300,0.024792524701338338
1301,0.0109348702911153
1302,0.02089778710849455
1303,0.0028567257127357646
1304,0.6068136544374219
1305,0.07498486633786958
1306,0.04438459136139431
1500,1.380168201411513
1501,1.347637681335478
1502,1.3185231023143251
1503,1.2884724307684443
1504,1.2541435754621664
1505,1.2242646461752813
1506,1.1902381657312207
1507,1.159979321099762
1508,1.1365470391836359
1509,1.108350342423747
1510,1.0716634891698928
1511,1.0457492071895527
1512,1.0233125573150756
1513,0.9965163912811092
1514,0.9625779818515422
1515,0.932048251850523
1516,0.9144906811570285
1517,0.8991099598575922
1518,0.8783471587112829
1519,0.8672680359840816
1520,0.8618537554155811
1521,0.8538656916044839
1522,0.8453131454872362
1523,0.8406532274737598
1524,0.8326563182414555
1525,0.8246052983601732
1526,0.8196882182395064
1527,0.8118063032789083
1528,0.8019417104548748
1529,0.7920519509805893
1530,0.7838955565062423
1531,0.7755980825759089
1532,0.7658182138546418
1533,0.7613424253717224
1534,0.7558775329042516
1535,0.7536309546250287
1536,0.7498479612897417
1537,0.7498466311605776
1538,0.7486750687081462
1539,0.7484566029481065
1540,0.7482126309772845
1541,0.7481150443242879
1542,0.7464396510683889
1543,0.7454188775134643
1544,0.745094816002737
1545,0.7442492540312245
1546,0.7437558136790721
1547,0.7424979424698291
1548,0.7418046506040812
1549,0.7412036607127483
1550,0.7396647414866012
1551,0.7383791345586901
1552,0.734476900862483
1553,0.7318358450896724
1554,0.728900797603749
1555,0.7264127529803305
1556,0.7232155257768531
1557,0.7190557824653456
1558,0.709514665434056
1559,0.7047605183297552
1560,0.6981153053175828
1561,0.6979432106061422
1562,0.6976754602007499
1563,0.6941519043641887
1564,0.691452935388667
1565,0.690043302358861
1566,0.6888586067573383
1567,0.6883510969772968
1568,0.685576513697888
1569,0.6842021901003887
1570,0.6833451821957031
1571,0.6825903911335197
1572,0.6833874378979659
1573,0.6804873517952229
1574,0.6748957281848911
1575,0.6688395449668593
1576,0.6672747883425597
1577,0.6646936543646368
1578,0.6604272127504204
1579,0.6593848494959108
1580,0.6526131092603058
1581,0.6488219297841047
1582,0.6446483001688101
1583,0.6390476123405364
1584,0.6395679849585809
1585,0.629446311786636
1586,0.6248762141508847
1587,0.6104337208764983
1588,0.6184381469592073
1589,0.5979447865889744
5510,0.4992459660456364
5511,0.9548762232319442
5575,0.7157523058004107
5900,0.9189990160472677
9211,0.3071510454933794
